billing_month	stable_platform_card_key	excel_row_key	imsi	charge_type	rule_id	same_card_difference_category	excel_final_start	excel_final_end	excel_days	platform_calculated_days	day_diff	excel_price	platform_calculated_price	price_diff	excel_amount	platform_calculated_amount	same_card_rule_amount_diff	numeric_match_status	platform_product_mapping_status	formal_match_status	platform_product_id	platform_product_name	platform_supplier_id	platform_iccid	platform_cycle_start	platform_cycle_end	platform_window_source	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count
2026-03	2026-03|ICCID|89014103271467377600|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#1	083901141064377706	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377600	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377618|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#2	083901141064377716	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377618	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377634|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#3	083901141064377736	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377634	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377642|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#4	083901141064377746	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377642	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377659|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#5	083901141064377756	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377659	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377568|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#6	083901141064377765	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377568	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377667|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#7	083901141064377766	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377667	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377576|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#8	083901141064377775	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377576	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377584|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#9	083901141064377785	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377584	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467377592|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#10	083901141064377795	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467377592	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467467963|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#11	083901141064477669	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467467963	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
2026-03	2026-03|ICCID|89014103271467467971|60011515|2026-03-22|2026-04-21	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx#12	083901141064477679	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	none	2026-03-22	2026-04-21	31.0000000000	31.0000000000	0E-9	62.0000000000	62.0000000000	0E-9	62.0000000000	62.000000	0.000000	NUMERIC_MATCH	PROVEN_BY_PLATFORM_IMSI	MATCHED	60011515	ATT 300GB Plan XY PP (WA)	2275	89014103271467467971	2026-03-22	2026-04-21	CYCLE_HISTORY	0	0	0	0
