source_table	control_scope	source_file	invoice_batch_label	observed_start_month	imsi	charge_type	excel_days	excel_price	excel_amount	amount_semantics	control_row_count	min_final_start_date	max_final_start_date	min_final_end_date	max_final_end_date	cycle_start_date	cycle_end_date	source_record_count	source_imsi_count	source_excel_amount	source_monthly_rate_sum	source_charge_type_count	source_product_count	observed_record_count	observed_imsi_count	observed_excel_amount	observed_monthly_rate_sum
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377706	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377716	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377736	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377746	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377756	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377765	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377766	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377775	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377785	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901141064377795	Full Cycle Charge	30.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-04-22	2026-04-22	2026-05-21	2026-05-21	2026-04-22 00:00:00	2026-05-21 00:00:00	7780	7317	372289.30752659	398011.00000000	3	52	7780	7317	372289.30752659	398011.00000000
