source_table	control_scope	source_file	invoice_batch_label	observed_start_month	imsi	charge_type	excel_days	excel_price	excel_amount	amount_semantics	control_row_count	min_final_start_date	max_final_start_date	min_final_end_date	max_final_end_date	cycle_start_date	cycle_end_date	source_record_count	source_imsi_count	source_excel_amount	source_monthly_rate_sum	source_charge_type_count	source_product_count	observed_record_count	observed_imsi_count	observed_excel_amount	observed_monthly_rate_sum
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04	083901516060454709	Credit for Offstocked Card	8.00000000	43.00000000	-31.53333333	detail.final_charge	1	2026-04-24	2026-04-24	2026-05-01	2026-05-01	2026-04-24 00:00:00	2026-05-23 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	2	2	-51.60000000	86.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04	083901516081653369	Credit for Offstocked Card	16.00000000	43.00000000	-20.06666667	detail.final_charge	1	2026-04-26	2026-04-26	2026-05-11	2026-05-11	2026-04-26 00:00:00	2026-05-25 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	2	2	-51.60000000	86.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377706	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377716	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377736	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377746	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377756	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377765	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377766	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
wa_invoice_detail	C_TARGET	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-05	083901141064377775	Full Cycle Charge	31.00000000	62.00000000	62.00000000	detail.final_charge	1	2026-05-22	2026-05-22	2026-06-21	2026-06-21	2026-05-22 00:00:00	2026-06-21 00:00:00	7887	7494	389800.95268807	407115.00000000	6	49	7885	7492	389852.55268807	407029.00000000
