billing_month	imsi	charge_type	excel_product_id	excel_product_names	excel_final_start_date	excel_final_end_date	excel_final_days	excel_final_days_values	excel_monthly_rate	excel_monthly_rate_values	excel_final_charge	platform_product_ids	platform_product_names	history_package_prices	history_price_count	dim_package_prices	dim_price_count	platform_calculated_days_rule	platform_calculated_days	platform_day_diff	platform_calculated_price	platform_price_diff	platform_calculated_amount	platform_amount_diff	cycle_boundary_utc	cycle_boundary_minus5	activation_utc	void_utc	status_snapshot_rows	cycle_rows	status_log_rows	residual_reason
2026-03	083901144006051100	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	4.0	4.0	43.0	43.0	5.548387096774193							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	2	MISSING_PLATFORM_DAYS
2026-03	083901144006053522	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	4.0	4.0	43.0	43.0	5.548387096774193							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	1	MISSING_PLATFORM_DAYS
2026-03	083901144006054290	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	9.0	9.0	43.0	43.0	12.483870967741936							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	3	MISSING_PLATFORM_DAYS
2026-03	083901144006054371	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	10.0	10.0	43.0	43.0	13.870967741935484							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	3	MISSING_PLATFORM_DAYS
2026-03	083901144006056498	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	4.0	4.0	43.0	43.0	5.548387096774193							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	1	MISSING_PLATFORM_DAYS
2026-03	083901144006057142	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	5.0	5.0	43.0	43.0	6.935483870967742							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	2	MISSING_PLATFORM_DAYS
2026-03	083901144006057168	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	15.0	15.0	43.0	43.0	20.806451612903228							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	3	MISSING_PLATFORM_DAYS
2026-03	083901144006057466	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	23.0	23.0	43.0	43.0	31.903225806451612							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	3	MISSING_PLATFORM_DAYS
2026-03	083901144006058033	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	4.0	4.0	43.0	43.0	5.548387096774193							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	3	MISSING_PLATFORM_DAYS
2026-03	083901144006058174	Prorated Out - Transferred to Wing's Simbank		ATT 100GB Plan DI LW (WA)	2026-03-28	2026-03-31	13.0	13.0	43.0	43.0	18.032258064516128							PLATFORM_CYCLE_UTC_TO_MONTH_END									2026-03-27T07:52:27.000Z		113	0	2	MISSING_PLATFORM_DAYS
