source_file	charge_type	imsi	final_start	final_end	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_monthly_rent	platform_package_price	platform_time_zone	iccid	snapshot_cycle_start	snapshot_cycle_end	snapshot_year	snapshot_month	snapshot_day	snapshot_hour	partition_time	sim_status	dispatch_status
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	22	3	2026-05-22 03:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	22	2	2026-05-22 02:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	22	1	2026-05-22 01:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	22	0	2026-05-22 00:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	21	23	2026-05-21 23:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	21	22	2026-05-21 22:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	21	21	2026-05-21 21:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	21	20	2026-05-21 20:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	21	19	2026-05-21 19:00:00	Ready	Dispatched
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	083901141064377706	2026-04-22	2026-05-21	30.0000000000	62.0000000000	62.0000000000	60011515	ATT 300GB Plan XY PP (WA)		62.0	GMT-5	89014103271467377600	2026-04-22	2026-05-22	2026	5	21	18	2026-05-21 18:00:00	Ready	Dispatched
