product_id	imsi	cycle_start	next_cycle_start	inclusive_cycle_end	package_price	time_zone	history_rows	min_excel_final_start	max_excel_final_end
60011515	083901141064377706	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377706	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377706	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377716	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377716	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377716	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377736	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377736	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377736	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377746	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377746	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377746	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377756	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377756	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377756	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377765	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377765	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377765	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377766	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377766	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377766	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377775	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377775	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377775	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377785	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377785	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377785	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064377795	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064377795	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064377795	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064477669	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064477669	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064477669	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064477679	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064477679	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064477679	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064477689	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064477689	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064477689	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064477699	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064477699	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064477699	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064478603	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064478603	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064478603	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064478604	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064478604	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064478604	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064478606	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064478606	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064478606	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064478613	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064478613	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064478613	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
60011515	083901141064478614	2026-03-22	2026-04-22	2026-04-21	0.0	GMT-5	1	2026-03-22	2026-04-21
60011515	083901141064478614	2026-04-22	2026-05-22	2026-05-21	0.0	GMT-5	1	2026-04-22	2026-05-21
60011515	083901141064478614	2026-05-22	2026-06-22	2026-06-21	0.0	GMT-5	1	2026-05-22	2026-06-21
