control_section	key_id	key_definition	row_key	source_file	imsi	iccid	product_name	cycle_start	cycle_end	final_start	final_end	detail_days	detail_price	detail_amount	duplicate_key_count	duplicate_row_count	excess_rows	uniform_value_key_count	amount_variants	days_variants	price_variants	product_variants	assessment
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901144035616472|2026-01-05|2026-02-04	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901144035616472		ATT 50GB Plan AT (WA)	2026-01-05	2026-02-04	2026-01-05	2026-01-13	9.000000000000	32.000000000000	9.290322580645		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901144035616472|2026-01-05|2026-02-04	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901144035616472		ATT 100GB Plan EC (WA)	2026-01-05	2026-02-04	2026-01-14	2026-02-04	22.000000000000	43.000000000000	30.516129032258		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060070015|2026-01-23|2026-02-22	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060070015		ATT 300GB Plan DF ET (43) (WA)	2026-01-23	2026-02-22	2026-01-23	2026-01-31	14.000000000000	62.000000000000	28.000000000000		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060070015|2026-01-23|2026-02-22	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060070015		ATT 125GB Plan DF ET (43) (WA)	2026-01-23	2026-02-22	2026-02-01	2026-02-22	22.000000000000	43.000000000000	30.516129032258		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060074992|2026-01-26|2026-02-25	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060074992		ATT 300GB Plan DF ET (43) (WA)	2026-01-26	2026-02-25	2026-01-26	2026-01-31	6.000000000000	62.000000000000	12.000000000000		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060074992|2026-01-26|2026-02-25	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060074992		ATT 125GB Plan DF ET (43) (WA)	2026-01-26	2026-02-25	2026-02-01	2026-02-25	25.000000000000	43.000000000000	34.677419354839		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060080836|2026-01-20|2026-02-19	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060080836		ATT 300GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-01-20	2026-01-31	15.000000000000	62.000000000000	30.000000000000		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060080836|2026-01-20|2026-02-19	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060080836		ATT 125GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-02-01	2026-02-19	19.000000000000	43.000000000000	26.354838709677		2	1		2	2	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060083965|2026-01-20|2026-02-19	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060083965		ATT 300GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-01-20	2026-01-31	19.000000000000	62.000000000000	38.000000000000		2	1		2	1	2	2	same normalized key but differing business values; unsafe to dedup
DETAIL_DUPLICATE_SAMPLE	D_SOURCE_IMSI_CYCLE	source_file + imsi + cycle_start + cycle_end	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx|083901516060083965|2026-01-20|2026-02-19	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060083965		ATT 125GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-02-01	2026-02-19	19.000000000000	43.000000000000	26.354838709677		2	1		2	1	2	2	same normalized key but differing business values; unsafe to dedup
