result_section	row_type	excel_row_id	excel_source_file	official_excel_billing_month	observed_start_month	imsi	excel_product_id	platform_product_id	platform_supplier_id	excel_product_name	platform_product_name	excel_charge_type	excel_new_activation_date	excel_final_start_date	excel_final_end_date	excel_days	platform_calculated_days	excel_price	platform_calculated_price	excel_amount	platform_calculated_amount	day_diff	price_diff	amount_diff	rule_id	difference_reason	source_match_status	platform_source_table	platform_cycle_start_date	platform_cycle_end_date	platform_activation_event_date	activation_date_distance	snapshot_lifecycle_status_values	snapshot_dispatch_status_values
ROW_LEVEL	EXCEL_DETAIL	12573	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144004491727				ATT 300GB Plan DI 1A (WA)		Full Cycle Charge		2025-12-23	2026-01-22	31.000000000000		62.000000000000		62.000000000000					RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY							
ROW_LEVEL	EXCEL_DETAIL	12574	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144004696834				ATT 300GB Plan DI 1A (WA)		Full Cycle Charge		2025-12-23	2026-01-22	31.000000000000		62.000000000000		62.000000000000					RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY							
ROW_LEVEL	EXCEL_DETAIL	12575	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144004897746				ATT 300GB Plan DI 1A (WA)		Full Cycle Charge		2025-12-23	2026-01-22	31.000000000000		62.000000000000		62.000000000000					RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY							
ROW_LEVEL	EXCEL_DETAIL	12576	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006050179		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12577	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006050957				ATT 300GB Plan EC PV (WA)		Full Cycle Charge		2025-12-14	2026-01-13	31.000000000000		62.000000000000		62.000000000000					RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY							
ROW_LEVEL	EXCEL_DETAIL	12578	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006051081		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Ready for Removal,Suspended	Available,Dispatched,Available,Dispatched,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12579	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006053769		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12580	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006055185				ATT 300GB Plan EC PV (WA)		Full Cycle Charge		2025-12-14	2026-01-13	31.000000000000		62.000000000000		62.000000000000					RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY							
ROW_LEVEL	EXCEL_DETAIL	12581	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006055537		600111132	2275	ATT 100GB Plan DI CD (WA)	ATT 100GB Plan DI CD (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-10	20.000000000000	21.000000000000	43.000000000000	43.000000000000	27.741935483871	29.1290322581	1.00000000000	0E-11	1.38709677423	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-11	2026-01-11	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12582	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006055575		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12583	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006056208		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12584	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006056722		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12585	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006056839		600111134	2275	ATT 100GB Plan DI JL (WA)	ATT 100GB Plan DI JL (WA)	New Activation: Prorated-in Charge	2025-12-22	2025-12-22	2026-01-15	25.000000000000	26.000000000000	43.000000000000	43.000000000000	34.677419354839	36.064516129	1.00000000000	0E-11	1.38709677416	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED_EXCEL_PLATFORM_VALUE_DIFFERENCE	UNRESOLVED	simo_prod.ods.resource_res_vsim_cycle_history	2025-12-16	2026-01-16	2025-12-21	1	Ready,Ready,Suspended	Available,Dispatched,Available,Unavailable
ROW_LEVEL	EXCEL_DETAIL	12586	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006056988				ATT 300GB Plan DI FS (WA)		New Activation: Prorated-in Charge	2025-12-24	2025-12-24	2026-01-12	20.000000000000	26.000000000000	62.000000000000		40.000000000000		6.00000000000			RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY				2025-12-18	6		
ROW_LEVEL	EXCEL_DETAIL	12587	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	083901144006057271				ATT 300GB Plan EC PV (WA)		Full Cycle Charge		2025-12-14	2026-01-13	31.000000000000		62.000000000000		62.000000000000					RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY_NO_WA_PLATFORM_CARD_IN_TARGET_WINDOW	WA_ONLY							
