result_type	observed_cycle_month	product_id	row_count	imsi_count	min_cycle_start_ts	max_cycle_end_ts	min_cycle_package_price	max_cycle_package_price	distinct_cycle_package_price_count	distinct_time_zone_count	imsi	cycle_start_ts	cycle_end_ts	cycle_package_price
CYCLE_PRODUCT_MONTH	2025-08	600111002	288	288	08/04/2025 05:00:00	09/04/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111005	1	1	08/22/2025 05:00:00	09/22/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111069	1	1	08/24/2025 00:00:00	09/24/2025 00:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111072	1	1	08/18/2025 05:00:00	09/18/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111074	1	1	08/19/2025 05:00:00	09/19/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111080	1	1	08/24/2025 00:00:00	09/24/2025 00:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111082	1	1	08/18/2025 05:00:00	09/18/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	600111083	1	1	08/19/2025 05:00:00	09/19/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011376	50	50	08/19/2025 05:00:00	09/19/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011378	20	20	08/24/2025 05:00:00	09/24/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011429	1	1	08/24/2025 05:00:00	09/24/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011436	200	200	08/10/2025 05:00:00	09/10/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011437	42	42	08/04/2025 05:00:00	09/30/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011444	11	11	08/01/2025 05:00:00	09/01/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011449	440	440	08/02/2025 05:00:00	09/30/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011494	54	54	08/01/2025 05:00:00	09/01/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011500	14	14	08/01/2025 05:00:00	09/01/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011515	753	753	08/01/2025 05:00:00	09/27/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011516	82	82	08/01/2025 05:00:00	09/01/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011521	100	100	08/21/2025 05:00:00	09/21/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011543	21	21	08/14/2025 05:00:00	09/28/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011612	319	319	08/25/2025 05:00:00	09/25/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011672	3063	2275	08/23/2025 00:00:00	09/24/2025 05:00:00	0E-12	0E-12	1	2				
CYCLE_PRODUCT_MONTH	2025-08	60011687	255	255	08/25/2025 05:00:00	09/25/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011690	45	45	08/10/2025 05:00:00	09/10/2025 05:00:00	0E-12	0E-12	1	1				
CYCLE_PRODUCT_MONTH	2025-08	60011691	60	60	08/07/2025 05:00:00	09/12/2025 05:00:00	0E-12	0E-12	1	1				
