billing_month	imsi	invoice_line_count	invoice_amount	join_status	validation_status
2025-09	083901143008538676	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920501	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920503	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920516	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920517	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920520	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920525	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920531	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920536	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920543	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920545	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920547	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920549	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920550	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920552	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920564	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920567	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920570	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920572	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920573	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920580	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008920595	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921500	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921516	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921520	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921523	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921525	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921526	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921539	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921555	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921556	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921560	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921561	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921567	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921570	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921572	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921574	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921581	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921582	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921590	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008921594	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922500	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922505	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922506	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922508	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922510	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922513	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922516	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922518	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922521	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922529	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922534	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922536	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922550	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922559	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
2025-09	083901143008922564	1	14.0	WA_ONLY	MISSING_DATA_PLATFORM_SNAPSHOT
