official_excel_billing_month	observed_start_month	imsi	charge_type	excel_cycle_start_date	excel_cycle_end_date	excel_final_start_date	excel_final_end_date	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_cycle_start_date	platform_cycle_end_date	platform_calculated_price	platform_calculated_days	platform_calculated_amount	day_diff	price_diff	amount_diff	platform_candidate_count	rule_id	numeric_match_status	source_match_status	difference_reason	status_snapshot_row_count_20251011	status_log_row_count_target_months
2025-09	2025-09	083901144004491727	Full Rate	2025-09-23	2025-10-22	2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993	ATT 300GB Plan DI 1A (PI)	2025-09-23	2025-10-23	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	41
2025-09	2025-09	083901144004696834	Full Rate	2025-09-23	2025-10-22	2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993	ATT 300GB Plan DI 1A (PI)	2025-09-23	2025-10-23	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	18
2025-09	2025-09	083901144004897746	Full Rate	2025-09-23	2025-10-22	2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993	ATT 300GB Plan DI 1A (PI)	2025-09-23	2025-10-23	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	8
2025-09	2025-09	083901144012070041	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1246	9
2025-09	2025-09	083901144012070388	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	1
2025-09	2025-09	083901144012070803	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	11
2025-09	2025-09	083901144012071007	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	10
2025-09	2025-09	083901144012071025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	3
2025-09	2025-09	083901144012071038	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1246	8
2025-09	2025-09	083901144012071441	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	5
2025-09	2025-09	083901144012071454	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	8
2025-09	2025-09	083901144012071676	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1246	11
2025-09	2025-09	083901144012071798	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	15
2025-09	2025-09	083901144012071871	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	62.000000000000	30.000000000000	62.000000000000	0E-11	0E-11	0E-11	2	R_FULL_CYCLE_PRICE	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1463	5
