excel_row_id	excel_source_file	official_excel_billing_month	observed_start_month	imsi	excel_product_id	excel_product_name	excel_new_card_imsi_replacement	excel_old_card_imsi_replaced	excel_transferred_to_wing_simbank	excel_sheet_name	charge_type	excel_cycle_start_date	excel_cycle_end_date	excel_final_start_date	excel_final_end_date	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_cycle_start_date	platform_cycle_end_date	platform_product_time_zone	cycle_history_time_zone	platform_calculated_price	platform_catalog_price	platform_catalog_price_withusd	cycle_history_package_price	platform_price_evidence_status	product_catalog_row_count	cycle_history_row_count	status_snapshot_row_count_20251011	status_log_row_count_target_months	rule_id	proration_denominator_month	proration_denominator_days	platform_calculated_days	platform_calculated_amount	platform_calculated_amount_known	day_diff	price_diff	amount_diff	numeric_match_status	formal_match_status	source_match_status	difference_reason
ffc2af5202f2ffa8d8414f5f282480090139fb2c716f270d62fb87f3afbd7e8c#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144004491727		60011993|ATT 300GB Plan DI 1A (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-23	2025-10-22	2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993	ATT 300GB Plan DI 1A (PI)	2025-09-23	2025-10-23	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	41	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
d655fde3d3732438caf5411614c2192a64e1ed1fccbdb88d27129ae59bb62008#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144004696834		60011993|ATT 300GB Plan DI 1A (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-23	2025-10-22	2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993	ATT 300GB Plan DI 1A (PI)	2025-09-23	2025-10-23	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	18	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
6a247244146707fb1771057a905fb71d7292b694e335b1bb55ce82673a072394#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144004897746		60011993|ATT 300GB Plan DI 1A (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-23	2025-10-22	2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993	ATT 300GB Plan DI 1A (PI)	2025-09-23	2025-10-23	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	8	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
82b206566c1fca45b0e2053734937c4c1973104313c3f70fdfc68190a9268cc2#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012070041		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1246	9	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
3326babc772daf34f0843958eb7d5ceb3374ababa5d18538d3e72dc25f6ccfb0#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012070388		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	1	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
9654aecea14132570ed62a4b64e568bb65e5e0fed7e68d883346a44cd3b67d61#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012070803		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	11	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
4428a29f3a480be5ec28ff15173cd19c05fecf5c21a77dde26953b981d6a02a6#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012071007		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	10	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
a16df7d5fc71e97443a8a16979033082f3ea6cf627dfdc96b1c81a53d664cde5#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012071025		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	3	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
b2da90f35f0758af6de6c8d53fc135f3eceacd235f6846f4f769b4bc3cbe768a#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012071038		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1246	8	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
2b107a1b45ff8d0f91f319f57334726b2089fe0c435ea6275620ba49442fae0a#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901144012071441		60011828|ATT 300GB Plan AX (WA)				Invoice Details - SEP 2025	Full Rate	2025-09-22	2025-10-21	2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828	ATT 300GB Plan AX (WA)	2025-09-22	2025-10-22	GMT-5	GMT-5	62.000000000000	62.000000000000		0E-12	ONE_PRICE	1	1	1463	5	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000		0E-11	0E-11	0E-11	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	MULTIPLE_PLATFORM_CYCLE_CANDIDATES
